"Name","ReleaseYear","LargestPrizePool","LargestTournementName","DateOfTounement","LocationOfTournement","TotalPrizePool","TotalPlayers","TotalTournements"
"Age of Empires","1997","$11,954.00","Facebook Gaming Creators Cup 2019","2020-01-12","Viet Nam","190,075.61","246","95"
"Age of Empires II","1999","$110,000.00","War is Coming","2015-03-23","Online and Dubai, UAE","1,417,624.06","801","497"
"Age of Empires III","2005","$20,000.00","WCG 2007 (AoEIII)","2007-10-07","Seattle, Washington, USA","66,463.85","86","72"
"Age of Empires Online","2011","$500.00","Celeste Open Championship","2018-11-26","Online","1,800.00","11","5"
"Age of Mythology","2002","$35,000.00","WCG 2003 (Age of Mythology)","2003-10-18","Seoul, South Korea","52,360.00","22","6"
"Auto Chess","2019","$1,000,000.00","Auto Chess Invitational 2019","2019-10-27","Shanghai, China","1,076,322.28","72","6"
"Brawl Stars","2018","$56,250.00","Brawl Stars World Championship 2020 March Finals","2020-03-08","Katowice, Poland","94,950.00","51","10"
"Chess.com","2007","$180,000.00","FIDE Online Nations Cup","2020-05-10","Online","678,628.54","531","131"
"chess24","2014","$250,000.00","Magnus Carlsen Invitational","2020-05-03","Online","627,876.21","48","6"
"Clash of Clans","2012","$700,000.00","Clash of Clans World Championship 2019","2019-10-27","Hamburg, Germany","751,576.87","77","3"
"Clash Royale","2016","$400,000.00","Clash Royale Crown Championship World Finals 2017","2017-12-03","London, England","2,293,020.39","222","39"
"Command & Conquer 3","2007","$20,000.00","WCG 2007 (C&C3)","2007-10-07","Seattle, Washington, USA","53,086.67","9","8"
"Company of Heroes 2","2013","$4,400.00","Grand Championship Series 2","2018-09-16","Manchester, United Kingdom","8,561.22","11","6"
"ComPet","2016","$2,000.00","ComPet Winter Championship","2017-01-02","Online","2,000.00","50","1"
"Dota Underlords","2019","$16,750.00","WePlay! Dota Underlords Open","2019-08-04","Online","26,024.18","62","36"
"Endgods","2015",NA,NA,NA,NA,"0.00","0","0"
"Farming Simulator 19","2018","$13,351.37","Farming Simulator League @ gamescom 2019","2019-08-24","Cologne, Germany","158,361.30","84","12"
"Grey Goo","2015","$29,400.00","Grey Goo Tournament Series Finals","2016-01-31","San Antonio, Texas, USA","36,400.00","18","5"
"Lichess","2010","$265,000.00","Clutch Chess: International","2020-06-14","Online","404,525.00","72","51"
"osu!","2007","$5,000.00","OWC 2015","2015-12-13","Worldwide","23,100.00","971","7"
"Playchess.com","2002","$23,014.86","Silkway Cup","2020-05-28","Online","24,005.23","76","4"
"Pokémon VGC","2017","$51,500.00","Pokémon 2017 World Championships","2017-08-20","Anaheim, California, United States","211,500.00","170","24"
"Prophecy","2020","$10,000.00","Prophecy 10k #1 - June 2020","2020-06-06","Online","13,000.00","27","4"
"Rise of Nations: Rise of Legends","2006","$69,600.00","$100,000 Rise of the Ultimate Championship Tournament","2007-03-03","Baltimore, USA (Finals)","69,600.00","8","1"
"Sea of Thieves","2016",NA,NA,NA,NA,"0.00","0","0"
"StarCraft II","2010","$700,000.00","WCS 2017 Global Finals","2017-11-04","Anaheim, USA","33,164,673.08","2063","5865"
"StarCraft: Brood War","1998","$126,451.20","GOMTV MSL #2 2007","2007-07-14","Seoul, South Korea","8,251,181.43","674","571"
"Super Mario Party","2018","$220.00","The Pinnacle 2018 (SMP)","2018-12-29","Richmond","220.00","4","1"
"Supreme Commander","2007","$4,901.26","i30 (SupCom)","2007-04-09","Newbury, United Kingdom","4,901.26","0","1"
"Supreme Commander: Forged Alliance","2007","$1,290.01","i33 (SupCom:FA)","2008-03-24","Greenham, United Kingdom","1,290.01","0","1"
"Teamfight Tactics","2019","$150,250.00","Galaxies Showcase","2020-03-13","Online","604,313.65","143","13"
"TEPPEN","2019","$456,721.47","Teppen World Championship 2019","2019-12-21","Japan","456,721.47","12","1"
"Tetr.io","2020","$324.43","WPL Tetr.io Open #2","2020-05-02","Online","1,753.09","8","6"
"UNO","2016","$10,000.00","Twitch Rivals: Uno Showdown - Pool A","2020-01-10","Online","20,000.00","16","2"
"WarCraft III","2002","$100,260.68","World Cyber Arena 2015 (WC3)","2015-12-20","Yinchuan, China","5,811,479.73","558","1335"
"WarCraft III: Reforged","2020","$25,000.00","DreamHack Anaheim 2020 (WC3)","2020-02-23","Anaheim, CA","89,667.43","55","50"
"Warhammer 40,000: Dawn of War","2005","$43,000.00","WCG 2006 (Warhammer 40,000)","2006-10-22","Monza, Italy","79,816.50","7","3"
"Warhammer 40,000: Dawn of War II","2009",NA,NA,NA,NA,"0.00","0","0"
"Warparty","2019","$1,000.00","CotSAI","2019-05-12","Online","1,000.00","4","1"
"Windjammers","1994","$1,116.75","Stunfest 2019 (WJ)","2019-05-19","Rennes, France","4,132.16","31","10"
"World in Conflict","2007","$200,000.00","CPL World Tour Finals 2007 (World in Conflict)","2008-02-28","London, UK","293,338.23","38","11"
"World of Tanks","2010","$308,494.40","World Cyber Arena 2015 (WoT)","2015-12-20","Yinchuan, China","3,656,496.59","403","50"
"World of Tanks Blitz","2016","$30,000.00","Blitz Twister Cup 2017","2017-11-11","Minsk, Belarus","63,330.00","14","6"
"Aliens versus Predator 2","2001","$40,000.00","CPL World Championship 2001 (AvP2)","2001-12-09","Dallas, Texas, USA","40,000.00","1","1"
"Battalion 1944","2018","$50,000.00","Blitzkrieg Masters 2018","2018-09-30","Amsterdam, Netherlands","185,654.67","114","21"
"Battalion 1944","2018",NA,NA,NA,NA,"0.00","0","0"
"Battlefield 1","2016",NA,NA,NA,NA,"0.00","0","0"
"Battlefield 2","2005","$50,000.00","CGI 2006 (BF2)","2006-07-23","San Francisco, California, USA","91,715.22","0","12"
"Battlefield 2142","2006","$13,644.88","Assembly Winter 2007 (BF2142)","2007-04-29","Tampere, Finland","18,546.14","0","4"
"Battlefield 3","2011","$7,110.86","DreamHack Summer 2012 (Battlefield 3)","2012-06-18","Jönköping, Sweden","25,407.46","5","7"
"Battlefield 4","2013","$37,171.20","ESL One BF4 Spring Finals 2015","2015-04-19","Cologne, Germany","245,766.46","204","145"
"Battlefield 5","2018",NA,NA,NA,NA,"0.00","0","0"
"Battlefield Hardline","2015","$13,463.28","DreamHack Tours 2015 (BF Hardline)","2015-05-08","Tours, France","13,463.28","20","1"
"Big Buck Hunter Arcade","2016","$76,200.00","2019 Big Buck World Championship","2019-10-12","Las Vegas, United States","76,200.00","3","1"
"Black Squad","2017","$3,440.72","Go4BlackSquad Europe Champions Cup 2019","2019-01-13","Online","8,480.72","57","17"
"Borderlands 3","2019",NA,NA,NA,NA,"0.00","0","0"
"Call of Duty","2003","$50,000.00","CPL Summer 2004 (CoD)","2004-08-01","Dallas, Texas, USA","50,629.77","51","3"
"Call of Duty 2","2005","$20,000.00","WSVG Dallas 2007 (Call of Duty 2)","2007-07-08","Grapevine, Texas, United States","66,828.51","41","17"
"Call of Duty 4: Modern Warfare","2007","$38,914.41","the eXperience 2008 (CoD4)","2008-08-02","Roskilde, Denmark","420,331.47","422","86"
"Call of Duty: Advanced Warfare","2014","$1,000,000.00","Call of Duty Championship 2015","2015-03-29","Los Angeles, California, USA","2,608,808.93","784","404"
"Call of Duty: Black Ops","2010","$140,000.00","MLG Providence 2011 (CoD: Black Ops)","2011-11-20","Providence, Rhode Island, USA","347,393.48","117","22"
"Call of Duty: Black Ops 2","2012","$1,000,000.00","Call of Duty Championship 2013","2013-04-07","Los Angeles, California, USA","1,467,139.25","184","53"
"Call of Duty: Black Ops 4","2018","$2,000,000.00","CWL Championship 2019","2019-08-18","Los Angeles, California","7,264,452.00","437","81"
"Call of Duty: Black Ops III","2015","$2,000,000.00","Call of Duty XP Championship 2016","2016-09-04","Los Angeles, CA","3,939,783.29","420","78"
"Call of Duty: Ghosts","2013","$1,000,000.00","Call of Duty Championship 2014","2014-03-30","Los Angeles, California, USA","1,594,185.25","199","76"
"Call of Duty: Infinite Warfare","2016","$1,525,000.00","CWL Championship 2017","2017-08-13","Orlando, Florida, USA","4,156,205.06","341","80"
"Call of Duty: Mobile","2019",NA,NA,NA,NA,"0.00","0","0"
"Call of Duty: Modern Warfare","2019","$250,000.00","CDC Minnesota Open 2020","2020-01-26","Minneapolis","1,529,784.50","243","34"
"Call of Duty: Modern Warfare 2","2009","$23,000.00","MLG Dallas 2010 (CoD:MW2)","2010-11-07","Dallas, Texas, USA","60,010.64","40","8"
"Call of Duty: Modern Warfare 3","2011","$1,000,000.00","Call of Duty XP","2011-09-03","Los Angeles, California, USA","1,134,475.66","206","39"
"Call of Duty: Warzone","2020","$80,000.00","Warzone Royal Ruckus 2020","2020-06-12","Online","1,047,163.37","307","45"
"Call of Duty: World War II","2017","$1,500,000.00","CWL Championship 2018","2018-08-19","Columbus, Ohio","4,559,271.00","266","64"
"Counter-Strike","2000","$200,000.00","CPL Summer 2003 (Counter-Strike)","2003-08-03","Dallas, Texas, USA","13,492,961.87","4137","994"
"Counter-Strike Online","2016","$40,000.00","Counter Strike Online World Championship 2016","2016-12-04","Taipei, Taiwan","406,989.60","70","12"
"Counter-Strike: Condition Zero","2004","$85,000.00","WCG 2004 (CS:Condition Zero)","2004-10-10","San Francisco, California, USA","162,150.60","111","3"
"Counter-Strike: Global Offensive","2012","$1,500,000.00","WESG 2016 (CS:GO)","2017-01-15","Changzhou, China","98,822,108.09","12901","5083"
"Counter-Strike: Source","2004","$477,500.00","CGS 2007 (CS: Source)","2007-12-15","Culver City, California, USA","3,115,972.29","1499","333"
"Critical Ops","2015","$10,000.00","C-Ops Championship series","2017-08-20","online","12,606.41","4","3"
"CrossFire","2007","$900,000.00","CrossFire Stars 2018","2018-12-09","Nankin , China","6,448,845.02","629","306"
"Crysis","2007","$8,364.00","i32 (Crysis)","2007-11-11","Newbury, United Kingdom","11,340.95","0","2"
"Day of Defeat","2003","$30,000.00","CPL Summer 2005 (Day of Defeat)","2005-07-10","Dallas, Texas, USA","50,300.00","37","3"
"Day of Defeat: Source","2005","$3,715.00","MaxLAN 2009 (DOD:S)","2009-11-22","Epinal, France","14,068.57","50","8"
"Descent 3","1999","$50,000.00","Descent 3 $50,000 Tournament","1999-08-28","Las Vegas, Nevada, USA","50,000.00","1","1"
"Diabotical","2020","$2,000.00","Juked Diabotical Duel Cup #1","2020-03-08","Online","5,535.93","46","13"
"Doom (2016)","2016","$7,000.00","QuakeCon 2017: DOOM CA 2vs2","2017-08-27","Dallas, United States","7,000.00","6","1"
"Doom 3","2004","$120,748.16","ACOM Fatal1ty Shootout","2004-10-15","Great Wall of China","257,748.16","14","4"
"Doom II: Hell on Earth","1994","$1,000.00","QuakeCon 2013 (Doom II)","2013-08-03","Dallas, Texas, USA","1,000.00","1","2"
"Echo Arena","2017",NA,NA,NA,NA,"0.00","0","0"
"Enemy Territory: Quake Wars","2007","$50,000.00","QuakeCon 2007 (ET:QW)","2007-08-05","Dallas, Texas, USA","60,923.12","27","4"
"Escape from Tarkov","2020","$27,300.00","Twitch Rivals: Escape from Tarkov Showdown - EU","2020-04-14","Online","54,600.00","3","2"
"Evolve","2015","$100,000.00","Evolve Proving Grounds - Finals","2015-06-15","Los Angeles, CA, USA","131,509.05","110","33"
"F.E.A.R.","2005","$100,000.00","CPL World Tour Finals 2007 (F.E.A.R.)","2008-02-28","London, UK","178,000.00","20","5"
"Ghost Recon Advanced Warfighter","2006","$16,000.00","WSVG Finals 2006 (GRAW)","2006-12-10","New York City, New York, USA","24,000.00","0","2"
"Gray Basin","2015",NA,NA,NA,NA,"0.00","0","0"
"Gundam Versus","2017","$280.00","CEOtaku 2017 (Gundam Versus 2v2)","2017-09-24","Orlando, Florida, USA","280.00","6","1"
"Guns of Boom","2017","$100,000.00","Guns of Boom Season 1 Finals","2018-11-18","Intel Esports Arena, Los Angeles","198,750.00","8","21"
"Halo 2","2004","$280,000.00","MLG Las Vegas 2007 (Halo 2 4v4)","2007-10-14","Las Vegas, Nevada, USA","1,489,362.47","119","71"
"Halo 2 Anniversary","2014","$150,000.00","HCS Season 2 Finals","2015-07-26","Burbank, California, USA","468,705.05","97","20"
"Halo 3","2007","$280,000.00","MLG Dallas 2010 (Halo 3)","2010-11-07","Dallas, Texas, USA","2,158,079.40","210","41"
"Halo 4","2012","$300,000.00","Halo 4 Global Championship","2013-09-01","Seattle, Washington, USA","430,748.76","66","19"
"Halo 5: Guardians","2015","$2,500,000.00","Halo World Championship 2016","2016-03-20","Hollywood, California, USA","7,071,480.97","233","75"
"Halo: Combat Evolved","2001","$50,000.00","CPL Summer 2004 (Halo)","2004-08-01","Dallas, Texas, USA","299,281.00","114","39"
"Halo: Infinite","2020",NA,NA,NA,NA,"0.00","0","0"
"Halo: Reach","2010","$280,000.00","MLG Providence 2011 (Halo: Reach)","2011-11-20","Providence, Rhode Island, USA","822,089.97","101","29"
"Ironsight","2018",NA,NA,NA,NA,"0.00","0","0"
"Islands of Nyne","2017",NA,NA,NA,NA,"0.00","0","0"
"MechWarrior Online","2013","$143,490.00","MechWarrior Online World Championship 2016","2016-12-03","Vancouver, British Columbia, Canada","143,490.00","0","1"
"Metal Gear Online","2008","$1,000.00","Go4MGO Asia January Monthly Finals","2016-02-13","Online","8,000.00","37","8"
"Overwatch","2016","$3,500,000.00","Overwatch League - Season 2 Playoffs","2019-09-29","Los Angeles/Philadelphia, United States","22,028,183.28","3491","739"
"Painkiller","2004","$510,000.00","CPL World Tour Finals 2005","2005-11-22","New York City, New York, USA","1,015,000.00","48","13"
"Paladins","2015","$300,000.00","Dreamhack HRX 2019: Paladins World Championship 2019","2019-11-17","Atlanta, Georgia","1,530,026.63","188","30"
"Point Blank","2008","$100,000.00","Point Blank 2016 International Championship","2016-09-25","Bangkok, Thailand","699,167.75","297","32"
"Quake 4","2005","$71,000.00","WSVG ISC 2006 (Quake 4)","2006-07-09","Grapevine, Texas, USA","556,678.51","100","52"
"Quake Champions","2017","$660,000.00","Quake World Championship 2017: Sacrifice Tournament","2017-08-26","Dallas, United States","2,245,908.25","210","198"
"Quake II","1997","$27,400.00","PGL Season 4 (Quake 2)","1999-05-22","New York, USA","140,179.50","32","10"
"Quake III Arena","1999","$100,000.00","Babbage's CPL Tournament (Quake III Arena)","2000-12-17","Dallas, Texas, USA","1,137,832.19","243","100"
"Quake Live","2010","$28,000.00","QuakeCon 2011 (Quake Live 4v4 TDM)","2011-08-07","Dallas, Texas, USA","682,294.04","213","410"
"QuakeWorld","1996","$25,000.00","QuakeCon 2016 (QuakeWorld 2v2)","2016-08-07","Dallas, Texas, USA","99,083.70","47","14"
"Rage","2011","$5,000.00","QuakeCon 2017: Carnage Tournament","2017-08-26","Dallas, United States","5,000.00","3","1"
"Rainbow Six Siege","2015","$3,000,000.00","Six Invitational 2020","2020-02-16","Montréal","12,159,469.70","1527","226"
"Rainbow Six: Vegas","2006","$84,000.00","MLG Las Vegas 2007 (R6:Vegas)","2007-10-14","Las Vegas, Nevada, USA","176,400.77","137","7"
"Rainbow Six: Vegas 2","2008","$34,000.00","MLG Las Vegas 2008 (R6:Vegas 2)","2008-11-23","Las Vegas, Nevada, USA","79,000.00","0","8"
"Realm Royale","2018","$100,000.00","Keemstar's Thursday Realm Royale Invitational","2018-07-19","Online (Twitch)","263,000.00","47","9"
"Reflex","2015","$1,035.00","BOXR: Reflex 01","2015-09-27","Online","2,158.40","21","7"
"Return to Castle Wolfenstein","2001","$53,000.00","QuakeCon 2002 (RTCW)","2002-08-18","Dallas, Texas, USA","67,424.30","30","3"
"S.K.I.L.L. - Special Force 2","2013","$57,559.33","ESL S.K.I.L.L. Pro League Season 1 Finals","2015-08-06","Cologne, Germany","132,532.93","82","21"
"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007","$4,901.26","i30 (Stalker)","2007-04-09","Newbury, United Kingdom","4,901.26","0","1"
"Shadowrun","2007","$16,000.00","MLG Las Vegas 2007 (Shadowrun)","2007-10-14","Las Vegas, Nevada, USA","24,000.00","0","3"
"ShootMania Storm","2013","$100,000.00","ShootMania Launch Tournament","2013-04-07","San Francisco, California, USA","261,687.04","80","40"
"Special Force","2004","$44,650.00","Special Force Proleague 2010 Season 2","2011-03-11","South Korea","130,250.00","0","3"
"Splatoon","2015","$720.00","Inkstorm I","2015-10-11","Online","1,390.00","3","4"
"Splatoon 2","2017","$2,000.00","Smash N Splash 4","2018-06-03","Wisconsin","10,055.00","13","7"
"Star Wars Jedi Knight II: Jedi Outcast","2002","$7,679.25","EPS Germany 1 Finals (Jedi Knight 2)","2002-12-15","Cologne, Germany","7,679.25","0","1"
"Sudden Attack","2005",NA,NA,NA,NA,"0.00","0","0"
"Team Fortress 2","2007","$27,599.92","PC Gamer Showdown","2008-09-28","Stoneleigh Park, England","715,461.60","1353","194"
"Uncharted 4: A Thief's End","2016","$46,235.07","Canadian Championship Uncharted 4","2016-08-21","Tornato , Canada","46,235.07","5","1"
"Unreal Tournament","1999","$43,000.00","WCG 2002 (Unreal Tournament)","2002-11-03","Daejeon, South Korea","89,000.00","14","5"
"Unreal Tournament (2016)","2016","$1,871.41","UTPL 2020 Spring Epic","2020-03-23","Online","5,084.97","82","8"
"Unreal Tournament 2003","2002","$35,000.00","WCG 2003 (UT2003)","2003-10-18","Seoul, South Korea","147,473.91","33","14"
"Unreal Tournament 2004","2004","$50,000.00","CPL Summer 2004 (UT2004)","2004-08-01","Dallas, Texas, USA","133,969.33","41","12"
"Unreal Tournament 3","2007","$60,803.83","Play.com UT3 National Championship (5v5 iCTF)","2008-03-16","London, United Kingdom","104,977.82","7","4"
"VALORANT","2020","$50,000.00","T1 x Nerd Street Gamers Showdown","2020-06-28","Online","481,578.58","811","121"
"Warface","2013","$63,495.00","Warface Open Cup XIII","2018-06-10","Minsk , Belarus","109,555.00","32","2"
"Warsow","2012","$183.00","WDC Sweden 2018","2018-03-31","Sweden","183.00","2","1"
"Wolfenstein: Enemy Territory","2003","$50,000.00","QuakeCon 2005 (ET)","2005-08-14","Dallas, Texas, USA","140,963.24","152","18"
"Xonotic","2010","$943.24","XDWC2016","2016-03-27","Europe","2,743.21","123","20"
"Zula","2015","$100,000.00","Zula World Cup 2018","2018-04-07","Istanbul, Turkey","100,000.00","20","1"
"Arena of Valor","2015","$2,166,994.19","Honor of Kings World Champion Cup 2019","2019-08-10","Shenzhen, China","14,556,095.63","536","49"
"Battlerite","2016","$28,000.00","Battlerite Pro League Season 1","2018-06-17","Jönköping, Sweden","65,173.45","86","75"
"Bloodline Champions","2011","$10,850.00","StarLadder StarSeries - Season 1 (Bloodline Champions)","2012-04-29","Online/Offline Finals","41,905.32","43","12"
"Creative Destruction","2018","$100,000.00","KEEMSTAR and UMG Creative Destruction Tournament","2018-12-22","Online","100,000.00","8","1"
"Defense of the Ancients","2003","$45,905.68","ACE Dota Pro-league 2012 Season 1","2012-09-14","Beijing, China","857,420.65","468","94"
"Dofus","2004",NA,NA,NA,NA,"0.00","0","0"
"Dota 2","2013","$34,330,069.00","The International 2019","2019-08-25","Shanghai, China","225,192,531.46","3693","1397"
